Category,Item Name,Price
Tiffins,IDLI,5.99
Tiffins,IDLI SAMBAR(3) ,7.99
Tiffins,GHEE KARAM IDLI ,7.99
Tiffins,VADA(2) ,6.49
Tiffins,VADA SAMBAR(2) ,7.99
Tiffins,IDLI VADA COMBO ,7.99
Tiffins,POORI BHAJI ,9.99
Tiffins,POORI WITH CHICKEN CURRY ,11.99
Tiffins,POORI WITH GOAT CUURY ,14.99
Tiffins,UPMA ,5.99
Tiffins,PONGAL ,5.99
Tiffins,PLAIN DOSA ,8.99
Tiffins,MASALA DOSA ,9.99
Tiffins,ONION DOSA ,9.99
Tiffins,ONION MASALA DOSA ,9.99
Tiffins,GHEE KARAM DOSA ,9.99
Appetizers,VEG MANCHURIA ,9.99
Appetizers,PANEER 65 ,10.99
Appetizers,CHILLI PANEER ,10.99
Appetizers,JALAPENO PANEER ,11.99
Appetizers,GOBI 65 ,9.99
Appetizers,GOBI MANCHURIA ,9.99
Appetizers,CHILLI BABYCORN ,10.99
Appetizers,CRISPY CORN ,10.99
Appetizers,SPRING ROLLS ,9.99
Appetizers,CHILLI EGG ,10.99
Appetizers,SURAVI'S SPECIAL CHICKEN 65 ,10.99
Appetizers,CHILLI CHICKEN ,10.99
Appetizers,GUNTUR KODI VEPUDU ,10.99
Appetizers,MIRAPA KODI ,10.99
Appetizers,KARIVAEPAKU KODI ,10.99
Appetizers,CHICKEN GHEE ROAST FRY ,11.99
Appetizers,JALAPENO CHICKEN ,11.99
Appetizers,GARLIC CHICKEN DRY ,10.99
Appetizers,SURAVI'S SPL CHICKEN FRY ,12.99
Appetizers,GOAT FRY ,14.99
Appetizers,GOAT GHEE ROAST FRY ,14.99
Appetizers,GOAT PEPPER FRY ,14.99
Appetizers,CHILLI SHRIMP ,14.99
Appetizers,APOLLO FISH ,14.99
Indian Curries,PALAK DAL ,11.99
Indian Curries,DAL TADKA ,11.99
Indian Curries,TOMATO DAL ,11.99
Indian Curries,PANEER BUTTER MASALA ,14.99
Indian Curries,PANEER TIKKA MASALA ,14.99
Indian Curries,PANEER MUTTER MASALA ,14.99
Indian Curries,METHI CHAMAN (GRATED PANEER) ,15.99
Indian Curries,PALAK PANEER ,14.99
Indian Curries,BENDI MASALA ,13.99
Indian Curries,ALOO GOBI MASALA ,13.99
Indian Curries,ALOO KOORMA ,13.99
Indian Curries,VEG NAVARATHAN KORMA ,13.99
Indian Curries,VEG VINDALOO ,13.99
Indian Curries,MALAI KOFTA ,13.99
Indian Curries,BAGARA BAIGAN ,13.99
Indian Curries,CHANA MASALA ,12.99
Indian Curries,KADAI PANEER ,14.99
Indian Curries,CHETTINAD VEG ,13.99
Indian Curries,SHAHI PANEER ,14.99
Indian Curries,KADAI VEG ,12.99
Indian Curries,EGG MASALA ,12.99
Indian Curries,EGG BURJI ,12.99
Indian Curries,CHETTINAD CHICKEN ,13.99
Indian Curries,ANDHRA CHICKEN CURRY ,13.99
Indian Curries,KADAI CHICKEN ,13.99
Indian Curries,GONGURA CHICKEN ,14.99
Indian Curries,MALAI METHI CHICKEN ,15.99
Indian Curries,CHETTINAD GOAT ,15.99
